"Column Name","Label"
"S0101_C03_011E","Female!!Estimate!!AGE!!45 to 49 years"
"S0101_C03_011EA","Annotation of Female!!Estimate!!AGE!!45 to 49 years"
"S0101_C03_011M","Female!!Margin of Error!!AGE!!45 to 49 years"
"S0101_C03_011MA","Annotation of Female!!Margin of Error!!AGE!!45 to 49 years"
"S0101_C01_012E","Total!!Estimate!!AGE!!50 to 54 years"
"S0101_C01_012M","Total!!Margin of Error!!AGE!!50 to 54 years"
"S0101_C01_012MA","Annotation of Total!!Margin of Error!!AGE!!50 to 54 years"
"S0101_C01_012EA","Annotation of Total!!Estimate!!AGE!!50 to 54 years"
"S0101_C02_012E","Male!!Estimate!!AGE!!50 to 54 years"
"S0101_C02_012EA","Annotation of Male!!Estimate!!AGE!!50 to 54 years"
"S0101_C02_012M","Male!!Margin of Error!!AGE!!50 to 54 years"
"S0101_C02_012MA","Annotation of Male!!Margin of Error!!AGE!!50 to 54 years"
"S0101_C03_012E","Female!!Estimate!!AGE!!50 to 54 years"
"S0101_C03_012M","Female!!Margin of Error!!AGE!!50 to 54 years"
"S0101_C03_012MA","Annotation of Female!!Margin of Error!!AGE!!50 to 54 years"
"S0101_C03_012EA","Annotation of Female!!Estimate!!AGE!!50 to 54 years"
"S0101_C01_013E","Total!!Estimate!!AGE!!55 to 59 years"
"S0101_C01_013M","Total!!Margin of Error!!AGE!!55 to 59 years"
"S0101_C01_013MA","Annotation of Total!!Margin of Error!!AGE!!55 to 59 years"
"S0101_C01_013EA","Annotation of Total!!Estimate!!AGE!!55 to 59 years"
"S0101_C02_013E","Male!!Estimate!!AGE!!55 to 59 years"
"S0101_C02_013EA","Annotation of Male!!Estimate!!AGE!!55 to 59 years"
"S0101_C02_013M","Male!!Margin of Error!!AGE!!55 to 59 years"
"S0101_C02_013MA","Annotation of Male!!Margin of Error!!AGE!!55 to 59 years"
"S0101_C03_013E","Female!!Estimate!!AGE!!55 to 59 years"
"S0101_C03_013M","Female!!Margin of Error!!AGE!!55 to 59 years"
