geoid,name,B01001001,"B01001001, Error",B01001002,"B01001002, Error",B01001003,"B01001003, Error",B01001004,"B01001004, Error",B01001005,"B01001005, Error",B01001006,"B01001006, Error",B01001007,"B01001007, Error",B01001008,"B01001008, Error",B01001009,"B01001009, Error",B01001010,"B01001010, Error",B01001011,"B01001011, Error",B01001012,"B01001012, Error",B01001013,"B01001013, Error",B01001014,"B01001014, Error",B01001015,"B01001015, Error",B01001016,"B01001016, Error",B01001017,"B01001017, Error",B01001018,"B01001018, Error",B01001019,"B01001019, Error",B01001020,"B01001020, Error",B01001021,"B01001021, Error",B01001022,"B01001022, Error",B01001023,"B01001023, Error",B01001024,"B01001024, Error",B01001025,"B01001025, Error",B01001026,"B01001026, Error",B01001027,"B01001027, Error",B01001028,"B01001028, Error",B01001029,"B01001029, Error",B01001030,"B01001030, Error",B01001031,"B01001031, Error",B01001032,"B01001032, Error",B01001033,"B01001033, Error",B01001034,"B01001034, Error",B01001035,"B01001035, Error",B01001036,"B01001036, Error",B01001037,"B01001037, Error",B01001038,"B01001038, Error",B01001039,"B01001039, Error",B01001040,"B01001040, Error",B01001041,"B01001041, Error",B01001042,"B01001042, Error",B01001043,"B01001043, Error",B01001044,"B01001044, Error",B01001045,"B01001045, Error",B01001046,"B01001046, Error",B01001047,"B01001047, Error",B01001048,"B01001048, Error",B01001049,"B01001049, Error"
15000US530330247012,"BG 2, Tract 247.01, King, WA",1559,330,776,216,29,34,93,56,49,29,103,78,0,13,0,13,10,16,0,13,16,22,41,34,42,41,59,52,116,62,72,44,51,39,9,15,14,20,0,13,13,14,20,19,0,13,39,38,0,13,783,162,26,28,63,52,42,40,26,32,58,45,0,13,0,13,45,37,10,16,56,32,37,34,55,37,103,68,78,46,44,29,3,11,44,35,0,13,38,46,19,18,10,11,26,23,0,13
15000US530330247013,"BG 3, Tract 247.01, King, WA",995,222,510,129,41,33,0,13,63,44,31,29,16,23,13,19,0,13,38,52,16,20,10,15,41,34,62,48,35,31,40,33,16,17,9,15,15,18,12,14,11,18,28,21,0,13,7,12,6,10,485,112,11,16,37,33,99,54,3,5,7,11,0,13,0,13,0,13,0,13,25,23,59,42,50,42,64,40,16,19,8,13,9,13,21,17,6,10,6,10,14,15,13,18,7,9,30,25
15000US530330247041,"BG 1, Tract 247.04, King, WA",2112,1256,1209,736,118,167,104,155,202,184,124,163,11,19,0,13,24,34,0,13,95,93,0,13,151,80,103,100,38,40,5,20,112,84,0,13,27,32,45,80,36,46,0,13,0,13,14,25,0,13,903,540,158,234,59,80,59,70,0,13,50,75,0,13,39,43,12,26,61,76,11,24,134,101,66,60,16,25,50,46,32,33,0,13,36,41,42,48,0,13,21,23,10,17,13,20,34,80
15000US530330247042,"BG 2, Tract 247.04, King, WA",1406,285,651,180,63,96,35,47,46,45,15,26,0,13,0,13,0,13,0,13,45,66,0,13,62,63,28,45,55,51,46,51,0,13,12,18,18,32,14,22,34,46,74,71,41,34,52,56,11,17,755,153,0,13,62,58,56,58,10,19,6,13,0,13,0,13,0,13,113,85,19,31,0,13,64,64,96,65,46,41,8,13,57,63,19,31,37,34,74,71,10,17,9,17,55,50,14,25
15000US530330248001,"BG 1, Tract 248, King, WA",1937,487,1056,351,163,168,23,26,14,26,40,49,39,52,12,22,11,17,23,26,15,24,135,117,64,46,47,40,45,61,120,95,138,110,38,36,17,27,11,23,15,24,27,32,57,81,2,11,0,13,881,227,35,44,45,43,29,40,20,24,18,23,44,69,0,13,0,13,137,126,60,67,35,27,25,32,55,45,172,93,27,32,17,26,15,19,12,26,32,36,8,15,4,8,70,77,21,32
15000US530330248002,"BG 2, Tract 248, King, WA",1945,727,909,321,9,16,23,27,63,47,35,45,20,31,0,13,0,13,0,13,122,177,57,78,100,65,71,82,90,85,64,56,68,51,16,25,137,217,15,24,11,19,4,11,4,8,0,13,0,13,1036,518,10,17,0,13,70,87,69,57,9,14,0,13,0,13,0,13,203,263,6,11,24,28,30,35,81,79,91,68,87,56,15,24,184,229,0,13,104,101,0,13,0,13,12,20,41,64
15000US530330248003,"BG 3, Tract 248, King, WA",1917,400,880,224,16,25,12,19,97,82,37,43,0,13,41,52,33,28,19,29,29,34,109,84,62,48,59,53,177,112,28,31,21,27,19,31,14,22,29,36,15,24,0,13,63,78,0,13,0,13,1037,300,47,43,40,46,17,27,111,157,20,24,14,23,14,23,37,36,50,49,47,46,152,94,92,86,84,81,67,60,61,53,44,70,0,13,36,40,10,15,76,84,0,13,18,30,0,13
15000US530330249011,"BG 1, Tract 249.01, King, WA",1074,164,555,98,35,41,62,41,22,29,51,35,19,17,0,13,8,12,31,34,0,13,0,13,53,32,45,28,61,39,33,26,26,23,21,19,10,16,0,13,10,15,26,23,18,20,24,21,0,13,519,108,28,21,11,17,84,41,46,31,6,9,0,13,0,13,19,27,0,13,0,13,47,35,64,36,108,49,14,16,22,17,0,13,8,13,4,7,15,17,15,19,21,20,7,12,0,13
15000US530330249012,"BG 2, Tract 249.01, King, WA",1489,295,794,203,23,29,72,43,64,36,20,18,0,13,71,107,0,13,36,38,23,27,0,13,31,28,46,39,54,35,92,52,78,47,40,38,32,27,8,12,26,29,26,25,17,18,29,22,6,10,695,124,27,29,33,28,57,37,25,17,10,13,9,14,0,13,19,29,28,27,0,13,43,36,21,16,63,33,67,46,78,41,28,26,4,7,13,14,15,23,36,29,82,49,28,23,9,13
15000US530330249013,"BG 3, Tract 249.01, King, WA",1042,215,530,148,8,14,10,16,70,52,33,33,8,12,0,13,0,13,25,28,21,22,9,14,18,25,12,19,55,51,44,27,69,43,8,13,50,47,27,29,23,20,24,26,0,13,16,19,0,13,512,112,0,13,39,43,19,17,19,19,22,29,0,13,13,14,0,13,0,13,48,29,16,19,13,15,100,60,44,27,71,54,15,18,16,22,0,13,30,27,22,26,17,18,8,13,0,13
